10X15;10X15;BOLSA SELLABLE CON SOLAPA X MILL;N;N;N;N;;PQT;;;;GENERAL;GENERAL;GENERAL;GENERAL
000000221672;1100;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;328;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
000000221443;1103;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;787;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
000000231015;1104-1;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;48;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
000000230995;1104-2;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;48;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
;1104-3;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;48;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
000000221948;1104-4;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;48;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
1105;1105;PEINILLA PARA NIÑA;ONNN;OONN;ZNPNN;ZPNNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
1106;1106;PEINILLA PARA NIÑA;ONNN;OONN;ZNPNN;ZPNNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
11091-5;11091-5;CUBO PULIDOR ;ZWNNN;ZVWNN;ZUSNN;YSNNN;;DOC;9.5X2.5;0;4431;BELLEZA;CABELLO;PEINILLAS;GENERAL
11091-8;11091-8;PEINE CABELLO;SNNN;SSNN;RYNN;ZYNNN;;DOC;21cm;0;4292;GENERAL;GENERAL;GENERAL;GENERAL
000000221795;1142;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;810;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
114RTS;114RTS;CEPILLO FLORES;WNNN;WWNN;WSNN;SNNN;;UND;;1;6448;GENERAL;GENERAL;GENERAL;GENERAL
116;116;BANANA FRANCÉS;SWNN;SOWN;RUSN;ZYSNN;;UND;14 Cm;CxU;6731;CAREY FRANCES;BANANAS;GENERAL;GENERAL
116-003;116-003;BANANA CAREY FRANCES;PNNN;PPNN;OSNN;ZSNNN;;UND;14 CM;0;6725;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;BANANAS
000000220927;1178;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;543;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
;1200661F071;FAYA MILLENIUM 16MM LUREX CTA;N;N;N;N;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
000000221665;1201;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;253;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
1211;1211;STICKER PARA DECORAR UÑAS;VYNN;VSYN;UNVN;PVNN;;DOC;43X22;0;;GENERAL;GENERAL;GENERAL;GENERAL
12121-4;12121-4;RULO  MÁGICO CABELLO;ZYNNN;ZWYNN;ZVVNN;YVNNN;;DOC;12;0;7127;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;PELO SINTETICO Y ACCESORIOS;PELO SINTETICO
121-4;121-4;PEINILLA PIOJO METAL;YRNN;YORN;WYVN;UVNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
121-4A205;121-4A205;PEINILLA PIOJO METAL;YRNN;YORN;WYVN;UVNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
000000222136;1233;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;;GENERAL;GENERAL;GENERAL;GENERAL
126;126;HEBILLA FRANCÉS;UUNN;SNUN;SSNN;ZZNNN;;UND;6 Cm;CxU;6701;CAREY FRANCES;HEBILLAS;GENERAL;GENERAL
126-003;126-003;CONGA CAREY FRANCÉS;SNNN;SSNN;RYNN;ZYNNN;;UND;6 cm;CxU;6703;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;HEBILLAS Y TIC TACS
12857;12857;CREMA DE MANOS;PNN;PPN;OSN;ZSNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
13052-3;13052-3;RESORTE;UVNN;UOVN;SVPN;ZNPNN;;DOC;;0;3974;BELLEZA;ASEO PERSONAL;GENERAL;GENERAL
13056-2;13056-2;SEPARADOR DEDOS;ZUSNN;ZRZSN;ZPRYN;WZYNN;;DOC;12;0;4438;GENERAL;GENERAL;GENERAL;GENERAL
13056-4;13056-4;STICKER UÑAS;UNN;UUN;SNN;ZNNN;;UND;8 x 15 Cm;1;4564;BELLEZA;UNAS;DECORACION;GENERAL
13061-4;13061-4;STICKER UÑAS;ZUNN;ZSUN;ZPNN;WNNN;;UND;15 x 8.5 Cm;0;4561;BELLEZA;UNAS;DECORACION;GENERAL
000000222129;1308;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;815;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
000000221450;1310;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;522;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
13108-1;13108-1;CINTA PARA UÑAS;RYNN;ROYN;PSVN;ZVVNN;;CTN;4.5;12;4489;BELLEZA;UNAS;DECORACION;GENERAL
13109-11;13109-11;RULO CHUMY;ZONN;YNON;YYPN;WPNN;;PQT;6;;4258;GENERAL;GENERAL;GENERAL;GENERAL
13109-12;13109-12;CHUMI GRANDE PQT x 6;YNNN;YYNN;YVNN;VNNN;;PQT;6;;4257;GENERAL;GENERAL;GENERAL;GENERAL
13109-2;13109-2;CHUMY GRANDE;YSNN;YPSN;WZYN;UYNN;;UND;1;1;;GENERAL;GENERAL;GENERAL;GENERAL
13122-1;13122-1;PEINILLA JUMBO;ONNN;OONN;ZNPNN;ZPNNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
13122-1HE0919;13122-1HE0919;PEINILLA JUMBO;ONNN;OONN;ZNPNN;ZPNNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
000000221610;1313;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;542;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
000000220880;1341;ENSAMBLE GOLDFIELD;ZYNN;ZWYN;ZVVN;YVNN;;GRM;;0;841;BISUTERIA;MATERIALES;ORO BRASILERO;SEPARADORES
135-21F;135-21F;BRILLO PARA NIÑA BOTA;ZWYNN;ZVUYN;ZUPVN;YSVNN;;CAJ;6x4.5;24;4566;BELLEZA;MAQUILLAJE;LABIOS;GENERAL
000000221504;138;ENSAMBLE GOLDFIELD;ZVNN;ZUVN;ZSPN;YPNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
14051-1;14051-1;PINZA PIOJO;VPNN;UYPN;URSN;OSNN;;TIR;12;;7463;FANTASIA;ACCESORIOS PARA FIESTA;CABELLO;GENERAL
14069-2;14069-2;LIMA ;VPNN;UYPN;URSN;OSNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
14076-1;14076-1;DISPENSADOR DE REMOVEDOR;ZPNN;ZOPN;YZSN;WSNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
14077-3;14077-3;EMPAQUE EN DISCO;WSNN;WOSN;VWYN;RYNN;;DOC;;0;3922;EXHIBIDORES Y ORGANIZADORES;ORGANIZADORES;GENERAL;GENERAL
14080-2;14080-2;GORRO MECHAS ;ZYNN;ZWYN;ZVVN;YVNN;;UND;16;1;4332;GENERAL;GENERAL;GENERAL;GENERAL
14080-3;14080-3;CAPA DE PELUQUERÍA SEDA;WPNN;VZPN;VUSN;RSNN;;UND;1;1;6427;GENERAL;GENERAL;GENERAL;GENERAL
14081-3;14081-3;PINZAS PARA EXTENSIONES;RYNN;ROYN;PSVN;ZVVNN;;DOC;12;0;4210;GENERAL;GENERAL;GENERAL;GENERAL
14086-3;14086-3;ARETES DE STICKER;WSNN;WOSN;VWYN;RYNN;;PQT;20;20;4476;GENERAL;GENERAL;GENERAL;GENERAL
14145;14145;CAJA PQÑ ACRÍLICO;WNNN;WWNN;WSNN;SNNN;;DOC;;0;3923;GENERAL;GENERAL;GENERAL;GENERAL
14147-03;14147-03;STICKER TATTO;RYNN;ROYN;PSVN;ZVVNN;;DOC;19 x 9 cm;0;4561;BELLEZA;MAQUILLAJE;TATUAJES TEMPORALES;GENERAL
14148-02;14148-02;RULO PEQUEÑO;ZYNN;ZWYN;ZVVN;YVNN;;PQT;10;10;4272;GENERAL;GENERAL;GENERAL;GENERAL
14148-03;14148-03;RULO;ZVNN;ZUVN;ZSPN;YPNN;;PQT;10;10;4251;GENERAL;GENERAL;GENERAL;GENERAL
14148-04;14148-04;RULO GRANDE;ZSNN;ZRSN;ZOYN;WYNN;;PQT;8;8;4252-4252;GENERAL;GENERAL;GENERAL;GENERAL
14149-5;14149-5;STICKER DE UÑAS;WSNN;WOSN;VWYN;RYNN;;CTN;12;;4474-4474;GENERAL;GENERAL;GENERAL;GENERAL
14150-1;14150-1;RASPACALLO PIEDRA;ZYNN;ZWYN;ZVVN;YVNN;;UND;;1;4446;GENERAL;GENERAL;GENERAL;GENERAL
14152-03;14152-03;CUBO PULIDOR 4 PASOS;RPNN;PUPN;OWSN;ZUSNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
14156-03;14156-03;CUBO PULIDOR DE UÑAS;ZYNNN;ZWYNN;ZVVNN;YVNNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
14156-06;14156-06;LIMA COLORES;VYNN;VSYN;UNVN;PVNN;;DOC;12;0;4436;GENERAL;GENERAL;GENERAL;GENERAL
14156-08;14156-08;LIMA COLORES ;SSNN;RYSN;ROYN;ZWYNN;;DOC;7.5x2;0;4436;GENERAL;GENERAL;GENERAL;GENERAL
14156-8;14156-8;LIMA COLORES;VYNN;VSYN;UNVN;PVNN;;DOC;12;0;4436;GENERAL;GENERAL;GENERAL;GENERAL
14157;14157;PUFF MAQUILLAJE x 4 COLORES;ZNYNN;ZZYYN;ZYYVN;YNVNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
14157-01;14157-01;PUFF MAQUILLAJE x 12;ZPNN;ZOPN;YZSN;WSNN;;PQT;12;12;4355;GENERAL;GENERAL;GENERAL;GENERAL
14157-02;14157-02;POMO x 4;OSNN;ZNUSN;ZZUYN;ZOYNN;;DOC;12;0;4353-4353;GENERAL;GENERAL;GENERAL;GENERAL
14157-05;14157-05;POMO MAQUILLAJE CORAZÓN;ZOYNN;YZZYN;YWNVN;WPVNN;;DOC;;0;;GENERAL;GENERAL;GENERAL;GENERAL
14159-12;14159-12;GLITTER;YYNN;YVYN;YSVN;VVNN;;UND;7CM;1;;GENERAL;GENERAL;GENERAL;GENERAL
14159-13;14159-13;GLITTER ESCARCHA ;SVNN;RNVN;RSPN;ZYPNN;;PQT;0;8;4542;BELLEZA;UNAS;DECORACION;GENERAL
14159-14;14159-14;GLITTER;ZRNN;ZPRN;YNVN;WVNN;;UND;7X4CM;1;;GENERAL;GENERAL;GENERAL;GENERAL
14163-01;14163-01;SACAPUNTAS SENCILLO;YVNN;YSVN;YPPN;VPNN;;DOC;2X2.5 CM;0;4390;ARTICULOS DE BELLEZA;ROSTRO;VARIOS;GENERAL
14163-02;14163-02;TAPA SACAPUNTAS;RUNN;PYUN;ONNN;ZUNNN;;PQT;4.5 cm;50;4616;BELLEZA;MAQUILLAJE;ROSTRO;MAQUILLAJE
14163-03;14163-03;SACAPUNTAS 2EN1;WSNN;WOSN;VWYN;RYNN;;DOC;3.5x3;0;4365;GENERAL;GENERAL;GENERAL;GENERAL
14172-1;14172-1;GANCHO CABELLO CAJA;ONNN;OONN;ZNPNN;ZPNNN;;DOC;80;0;4192;GENERAL;GENERAL;GENERAL;GENERAL
14172-2;14172-2;CLIP PARA CABELLO X KILO;ZRNNN;ZPRNN;YNVNN;WVNNN;;UND;;1;;GENERAL;GENERAL;GENERAL;GENERAL
000000221320;142;ENSAMBLE GOLDFIELD;ZZNN;ZYZN;ZWYN;YYNN;;GRM;;0;828;BISUTERIA;MATERIALES;ORO BRASILERO;DIJES
142A;142A;RECIPIENTE PLÁSTICO;UNN;UUN;SNN;ZNNN;;UND;0;1;4451;GENERAL;GENERAL;GENERAL;GENERAL
143-003;143-003;CONGA CAREY FRANCÉS;PUNN;OUNN;ZYNNN;ZRNNN;;UND;8.5 Cm;CxU;6711;MODA Y ACCESORIOS;ACCESORIOS DE CABELLO;CAREY FRANCES;PALOS CHINOS Y CONGAS
