#100NEWSALON,#100NEWSALON,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
14081-3,14081-3,PINZAS PARA EXTENSIONES,RYNN,PNNN,OVNN,ZVVNN,WSNN,DOC,12,,4210,FANTASIA,PELO SINTETICO,ACCESORIOS,GENERAL
14086-3,14086-3,ARETES DE STICKER,WSNN,VNNN,VRNN,RYNN,ZPNN,PQT,20,,4476,CACHARROS,PARA NIÑAS,STIKER,GENERAL
14145,14145,CAJA PQÑ ACRILICO,WNNN,WWNN,VYNN,SNNN,ZUNN,DOC,Dimension,,3923,EXHIBIDORES Y ORGANIZADORES,ORGANIZADORES,GENERAL,GENERAL
14147-03,14147-03,STICKER TATTO,RYNN,PVNN,OSNN,ZVVNN,WSNN,DOC,0,,4545,ARTICULOS DE BELLEZA,TATUAJES Y STIKERS,GENERAL,GENERAL
14148-02,14148-02,RULO PEQUEÑO,ZYNN,ZWNN,ZSNN,YVNN,SNN,PQT,10,,4272,ARTICULOS DE BELLEZA,CABELLO,RULOS,GENERAL
14148-03,14148-03,RULO,ZVNN,ZUNN,ZPNN,YPNN,RNN,PQT,10,,4251,ARTICULOS DE BELLEZA,CABELLO,RULOS,GENERAL
14148-04,14148-04,RULO GRANDE,ZSNN,ZPNN,YZNN,WYNN,PNN,PQT,8,,4252-4252,ARTICULOS DE BELLEZA,CABELLO,RULOS,GENERAL
14149-5,14149-5,STICKER DE UÑAS,WSNN,VNNN,VRNN,RYNN,ZPNN,CTN,12,,4474-4474,GENERAL,GENERAL,GENERAL,GENERAL
14150-1,14150-1,RASPACAYO PIEDRA,ZYNN,ZVNN,ZSNN,YVNN,SNN,UND,,,4446,GENERAL,GENERAL,GENERAL,GENERAL
14152-03,14152-03,CUBO PULIDOR 4 PASOS,RPNN,PSNN,ZNZNN,ZUSNN,WONN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
14156-03,14156-03,CUBO PULIDOR DE UÑAS,ZYNNN,ZWYNN,ZUSNN,YVNNN,SNNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
14156-06,14156-06,LIMA COLORES,VYNN,VSNN,UUNN,PVNN,YZNN,DOC,12,,4436,GENERAL,GENERAL,GENERAL,GENERAL
14156-08,14156-08,LIMA COLORES,SSNN,RWNN,PSNN,ZWYNN,WWNN,DOC,7.5x2,,4436,ARTICULOS DE BELLEZA,MANOS Y PIES,MANICURE Y PEDICURE,GENERAL
14156-8,14156-8,LIMA COLORES,VYNN,VRNN,UUNN,PVNN,YZNN,DOC,12,,4436,GENERAL,GENERAL,GENERAL,GENERAL
14157,14157,PUFF MAQUILLAJE X4 COLORES,ZNYNN,ZZYNN,ZWWNN,YNVNN,UZNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
14157-01,14157-01,PUFF MAQUILLAJE X12,ZPNN,YNNN,YVNN,WSNN,ONN,PQT,12,,4355,GENERAL,GENERAL,GENERAL,GENERAL
14157-02,14157-02,POMO X4,OSNN,ZNSNN,ZYUNN,ZOYNN,VPNN,DOC,12,,4353-4353,GENERAL,GENERAL,GENERAL,GENERAL
14157-05,14157-05,POMO MAQUILLAJE CORAZON,ZOYNN,YZZNN,YUNNN,WPVNN,OSNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
14159-12,14159-12,GLITER,YYNN,YUNN,YONN,VVNN,ZZNN,UND,7CM,,,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
14159-13,14159-13,GLITTER ESCARCHA COLORES,SSNN,RYSN,PUPN,ZWYNN,WWNN,CAJ,12,,4393,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
14159-14,14159-14,GLITER,ZRNN,ZONN,YWNN,WVNN,PUN,UND,7X4CM,,,GENERAL,GENERAL,GENERAL,GENERAL
14163-01,14163-01,SACAPUNTAS ECONOMICO,YVNN,YSNN,WWNN,VPNN,ZYNN,DOC,2x2.5,,4390,ARTICULOS DE BELLEZA,ROSTRO,VARIOS,GENERAL
14163-02,14163-02,SACAPUNTA,RUNN,PUNN,ZNUNN,ZUNNN,WRUN,PQT,4.5,,4390,ARTICULOS DE BELLEZA,MAQUILLAJE,LAPICES,GENERAL
14163-03,14163-03,SACAPUNTAS 2EN1,WSNN,VNNN,VRNN,RYNN,ZPNN,DOC,3.5x3,,4365,ARTICULOS DE BELLEZA,ROSTRO,VARIOS,GENERAL
14172-1,14172-1,GANCHO CABELLO CAJA,ONNN,OONN,ZZRNN,ZPNNN,VUNN,DOC,80,,4192,FANTASIA,HEBILLAS,GANCHOS,GENERAL
14172-2,14172-2,CLIP PARA CABELLO X KILO,ZRNNN,ZPRNN,YYZNN,WVNNN,PUNN,UND,,,,ENSAMBLE,HERRAJES PARA EL CABELLO,HEBILLAS,GENERAL
000000221320,142,ENSAMBLE GOLFID,ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
142A,142A,RECIPIENTE PLASTICO,UNN,SNN,RNN,ZNNN,YUN,UND,1,,4451,CACHARROS,HOGAR Y COCINA,GENERAL,GENERAL
1440,1440,GORRO ALUMINIO X3,YYNN,YVNN,YONN,VVNN,ZZNN,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
144RTS,144RTS,CEPILLO,VNNN,VVNN,UYNN,PNNN,YNNN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
1459-14,1459-14,GLITER,YYNN,YVNN,WNNN,VVNN,ZZNN,UND,,,,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
14928,14928,UÑAS POSTIZAS PARA NIÑA,RYNN,RONN,OVNN,ZVVNN,WSNN,CTN,12,,4413,GENERAL,GENERAL,GENERAL,GENERAL
14929,14929,UÑAS POSTIZAS NIÑA,RYNN,RONN,OVNN,ZVVNN,WSNN,CTN,33X21,,4405,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
,14PCS,PERLA PLASTICA 14MM,N,N,N,N,N,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
15,15,DIADEMA FRANCES,UNNN,UUNN,RNNN,ZNNNN,YUNN,UND,1.5 CM,,,CAREY FRANCES,DIADEMAS,GENERAL,GENERAL
15047-1,15047-1,STICKER TATTO,PVNN,OWNN,ZZNNN,ZSPNN,VYNN,DOC,14X5X26,,4463,CACHARROS,TATUAJES,GENERAL,GENERAL
15047-2,15047-2,STICKERS,VYNN,VSNN,UUNN,PVNN,YZNN,DOC,12,,4471,GENERAL,GENERAL,GENERAL,GENERAL
15047-3,15047-3,STICKERS PEINADOS,ZPNN,YNNN,YVNN,WSNN,ONN,DOC,0,,4530,ARTICULOS DE BELLEZA,TATUAJES Y STIKERS,GENERAL,GENERAL
15054-2,15054-2,ENCRESPADOR FUCSIA,ZPNN,YNNN,YVNN,WSNN,ONN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
15054-3,15054-3,ENCRESPADOR,YVNNN,YSVNN,WZYNN,VPNNN,ZYNNN,DOC,10CM,,4304,ARTICULOS DE BELLEZA,ROSTRO,ENCREPADORES,GENERAL
15055-1,15055-1,BROCHAMAQUILLAJE,VUNN,UNNN,UONN,ONNN,YYUN,UND,,,,GENERAL,GENERAL,GENERAL,GENERAL
15055-2,15055-2,BROCHA PARA BASE,VUNN,UNNN,UONN,ONNN,YYUN,UND,15.5,,4385,ARTICULOS DE BELLEZA,MAQUILLAJE,BROCHAS,FINO
15055-3,15055-3,BROCHA PARA BASE,VUNN,UNNN,UONN,ONNN,YYUN,UND,1,,6474,GENERAL,GENERAL,GENERAL,GENERAL
15057-1,15057-1,STICKER DE UÑAS,OSNN,ZNSNN,ZYUNN,ZOYNN,VPNN,DOC,12,,4471,ARTICULOS DE BELLEZA,MANOS Y PIES,DECORACION DE UÑAS,GENERAL
15059-1,15059-1,PEINILLA COLA RATON NEON,YVNN,YSNN,WZNN,VPNN,ZYNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
15059-1H105778,15059-1H105778,PEINILLA COLA RATON NEON,YVNN,YSNN,WZNN,VPNN,ZYNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
15059-5,15059-5,PEINILLA HOMBRE SENCILLA,WSNN,VNNN,VRNN,RYNN,ZPNN,PQT,,,,GENERAL,GENERAL,GENERAL,GENERAL
15062,15062,CEPILLO FACIAL,RUN,PNN,ZNNN,ZUNN,WRU,UND,1,,4344,GENERAL,GENERAL,GENERAL,GENERAL
15062-1,15062-1,CEPILLO FACIAL,RUN,PNN,ZNNN,ZUNN,WRU,UND,1,,,ARTICULOS DE BELLEZA,ROSTRO,BROCHAS,ECONOMICO
15062-3,15062-3,CEPILLO FACIAL,RUN,PNN,ZNNN,ZUNN,WRU,UND,1,,4344,GENERAL,GENERAL,GENERAL,GENERAL
15078-2,15078-2,PEINILLA MOJARRA NEGRA,VPNN,UWNN,SWNN,OSNN,YVNN,DOC,12,,4256,ARTICULOS DE BELLEZA,CABELLO,PEINILLAS,ECONOMICO
15078-3,15078-3,PEINILLA MOJARRA COLORES,UVNN,UONN,RNNN,ZNPNN,YRNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
15078-3HE0917,15078-3HE0917,PEINILLA MOJARRA COLORES,UVNN,UONN,RNNN,ZNPNN,YRNN,DOC,,,,GENERAL,GENERAL,GENERAL,GENERAL
15088-1,15088-1,PEGA UÑAS ECONOMICA,SNN,RNN,PNN,ZYNN,WNN,UND,5.5,,4317,ARTICULOS DE BELLEZA,MANOS Y PIES,PEGA ADORO COPIA,GENERAL
000000221344,151,ENSAMBLE GOLFID,ZZNN,ZYNN,ZVUN,YYNN,UUN,GRM,,,,ENSAMBLE,GOLFIED,DIJES,GENERAL
15102,15102,UÑAS POSTIZAS,RYNN,RPNN,OSNN,ZVVNN,WSNN,CTN,0,,,GENERAL,GENERAL,GENERAL,GENERAL
15107-1,15107-1,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,6378,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CAJA PLASTICA
15108,15108,UÑAS POSTIZAS,PVNN,OYNN,ZNONN,ZSPNN,VYNN,CTN,100,,4413,GENERAL,GENERAL,GENERAL,GENERAL
15108-1,15108-1,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,6387,GENERAL,GENERAL,GENERAL,GENERAL
15109,15109,UÑAS POSTIZAS,ONNN,OONN,ZZRNN,ZPNNN,VUNN,CTN,24,,,GENERAL,GENERAL,GENERAL,GENERAL
15109-1,15109-1,UÑA POSTIZA CAJA X100,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,6388,GENERAL,GENERAL,GENERAL,GENERAL
15110,15110,UÑA POSTIZA X24,SNNN,SSNN,RPNN,ZYNNN,WNNN,CTN,24,,4406,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
15110-1,15110-1,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,6379,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CAJA PLASTICA
15111-1,15111-1,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,6394,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
15112,15112,UÑAS POSTIZAS,PVNN,OYNN,ZNONN,ZSPNN,VYNN,CTN,24,,4413-4413,GENERAL,GENERAL,GENERAL,GENERAL
15112-1,15112-1,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,4392-6387,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,GENERAL
15113-1,15113-1,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,,GENERAL,GENERAL,GENERAL,GENERAL
15114,15114,UÑA POSTIZA TOE NAIL X24,N,N,N,N,N,CTN,24,,4397-4397,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
15114-1,15114-1,UÑAS POSTIZAS,WNNN,WWNN,WONN,SNNN,ZUNN,CAJ,100,,4390,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CAJA PLASTICA
15115,15115,UÑAS POSTIZAS,PVNN,OWNN,ZZNNN,ZSPNN,VYNN,CTN,24,,4401-4401,GENERAL,GENERAL,GENERAL,GENERAL
15116,15116,UÑAS POSTIZAS,PVNN,OYNN,ZNONN,ZSPNN,VYNN,CTN,24,,4398,ARTICULOS DE BELLEZA,MANOS Y PIES,UÑAS,CARTON
15118,15118,UÑAS POSTIZAS,PVNN,OYNN,ZNONN,ZSPNN,VYNN,CTN,24,,4406,GENERAL,GENERAL,GENERAL,GENERAL
